;model_id;phi;abs_metric;acf_id_lag=1;cross_correl;sig_w1_metric;r2_tstr;r2_trtr
0;GMMN;0,80000;0,00551;0,01397;0,00002;0,23061;0,63065;0,64179
1;GMMN;0,50000;0,00649;0,00479;0,00003;0,13369;0,26032;0,26250
2;GMMN;0,20000;0,00635;0,01733;0,00002;0,14409;0,05009;0,05102
3;RCGAN;0,80000;0,00489;0,01055;0,00002;0,12018;0,64042;0,64179
4;RCGAN;0,50000;0,00646;0,03780;0,00003;0,16955;0,26220;0,26250
5;RCGAN;0,20000;0,01332;0,04078;0,00003;0,22683;0,05063;0,05102
6;SigCGAN;0,80000;0,00702;0,00296;0,00002;0,05523;0,64126;0,64179
7;SigCGAN;0,50000;0,01010;0,00192;0,00003;0,08462;0,26147;0,26250
8;SigCGAN;0,20000;0,01186;0,00678;0,00002;0,10299;0,05019;0,05102
9;TimeGAN;0,80000;0,01273;0,00864;0,00002;0,17661;0,63905;0,64179
10;TimeGAN;0,50000;0,02588;0,04991;0,00003;0,28517;0,25408;0,26250
11;TimeGAN;0,20000;0,02442;0,00265;0,00002;0,38459;0,04793;0,05102
